instrumento,simbolo,descripcion,mercado,panel,ultimoPrecio,apertura,cierreAnterior,variacionDiaria,volumen,maximo,minimo,rango52SemanasMin,rango52SemanasMax,fechaHoraCotizacion,mepCclImplicito,fuente
"cedears","IWMD","Cedear Ishares Trust Russell 2000","bcba",,"28.68","28.9","28.68","0.42","0","28.9","28.64",,,"2026-04-24T19:20:56.570Z","1441.4226","/1/Titulos/IWMD/CotizacionDetalle"
"cedears","JCI","Cedear Johnson Controls Intern","bcba",,"99325","99325","99325","0","0","0","0",,,"2026-04-24T04:00:10.897Z",,"/1/Titulos/JCI/CotizacionDetalle"
"cedears","JD","Cedear Jd.Com, Inc.","bcba",,"11310","11130","11310","2.44","0","11330","11130",,,"2026-04-24T19:58:25.867Z",,"/1/Titulos/JD/CotizacionDetalle"
"cedears","JDC","Cedear Jd.Com, Inc.","bcba",,"7.61","6.79","7.61","12.07","0","0","0",,,"2026-04-24T14:13:13.677Z",,"/1/Titulos/JDC/CotizacionDetalle"
"cedears","JDD","Cedear Jd.Com, Inc.","bcba",,"7.85","7.94","7.85","1.02","0","7.94","7.85",,,"2026-04-24T19:55:07.853Z",,"/1/Titulos/JDD/CotizacionDetalle"
"cedears","JMIA","Cedear Jumia Technologies Ag","bcba",,"10630","10600","10630","1.14","0","10820","10160",,,"2026-04-24T19:55:28.853Z","1387.7285","/1/Titulos/JMIA/CotizacionDetalle"
"cedears","JMIAC","Cedear Jumia Technologies Ag","bcba",,"7.28","7.28","7.28","0","0","0","0",,,"2026-04-24T04:00:21.767Z","1387.7285","/1/Titulos/JMIAC/CotizacionDetalle"
"cedears","JMIAD","Cedear Jumia Technologies Ag","bcba",,"7.66","7.29","7.66","3.37","0","7.54","7.02",,,"2026-04-24T19:52:19.207Z","1387.7285","/1/Titulos/JMIAD/CotizacionDetalle"
"cedears","JNJ","Cedear Johnson & Johnson","bcba",,"22690","22700","22690","-0.3","0","22790","22470",,,"2026-04-24T19:58:58.310Z","1438.8079","/1/Titulos/JNJ/CotizacionDetalle"
"cedears","JNJC","Cedear Johnson & Johnson","bcba",,"15.34","15.34","15.34","0","0","0","0",,,"2026-04-24T04:00:18.830Z","1438.8079","/1/Titulos/JNJC/CotizacionDetalle"
"cedears","JNJD","Cedear Johnson & Johnson","bcba",,"15.77","16.24","15.77","-1.37","0","16.24","15.59",,,"2026-04-24T19:59:53.923Z","1438.8079","/1/Titulos/JNJD/CotizacionDetalle"
"cedears","JOYY","Cedear Joyy Inc.","bcba",,"17490","17090","17490","2.76","0","17090","17090",,,"2026-04-24T19:56:15.397Z","2699.0741","/1/Titulos/JOYY/CotizacionDetalle"
"cedears","JOYYD","Cedear Joyy Inc.","bcba",,"6.48","6.48","6.48","0","0","0","0",,,"2026-04-24T04:00:22.500Z","2699.0741","/1/Titulos/JOYYD/CotizacionDetalle"
"cedears","JPM","Cedear Jpmorgan Chase & Co.","bcba",,"30780","30800","30780","0.13","0","30840","30500",,,"2026-04-24T19:59:27.070Z","1428.3063","/1/Titulos/JPM/CotizacionDetalle"
"cedears","JPMC","Cedear Jpmorgan Chase & Co.","bcba",,"20.6","20.84","20.6","-2.87","0","20.84","20.6",,,"2026-04-24T19:08:15.147Z","1428.3063","/1/Titulos/JPMC/CotizacionDetalle"
"cedears","JPMD","Cedear Jpmorgan Chase & Co.","bcba",,"21.55","21.99","21.55","-0.82","0","21.99","21.2",,,"2026-04-24T19:53:07.007Z","1428.3063","/1/Titulos/JPMD/CotizacionDetalle"
"cedears","KB","Cedear Kb Financial Group Inc.","bcba",,"81025","81025","81025","0","0","0","0",,,"2026-04-24T04:00:47.853Z",,"/1/Titulos/KB/CotizacionDetalle"
"cedears","KEEL","Cedear Keel Infrastructure","bcba",,"24570","25080","24570","2.8","0","25900","24230",,,"2026-04-24T20:00:00.340Z","1426.0012","/1/Titulos/KEEL/CotizacionDetalle"
"cedears","KEELC","Cedear Keel Infrastructure","bcba",,"11.16","10.34","11.16","0","0","0","0",,,"2026-04-24T04:00:38.357Z","1426.0012","/1/Titulos/KEELC/CotizacionDetalle"
"cedears","KEELD","Cedear Keel Infrastructure","bcba",,"17.23","18","17.23","1.47","0","18.09","16.95",,,"2026-04-24T19:55:03.097Z","1426.0012","/1/Titulos/KEELD/CotizacionDetalle"
"cedears","KEP","Cedear Korea Electronic Power","bcba",,"23490","23100","23490","3.29","0","23430","23080",,,"2026-04-24T19:17:52.993Z",,"/1/Titulos/KEP/CotizacionDetalle"
"cedears","KGC","Cedear Kinross Gold Corp","bcba",,"48940","48840","48940","3.29","0","48940","48500",,,"2026-04-24T19:57:26.463Z",,"/1/Titulos/KGC/CotizacionDetalle"
"cedears","KMB","Cedear Kimberly Clark Corporation","bcba",,"24370","24400","24370","1.12","0","24600","24250",,,"2026-04-24T19:48:18.180Z","1437.7581","/1/Titulos/KMB/CotizacionDetalle"
"cedears","KMBC","Cedear Kimberly Clark Corporat","bcba",,"18.1","18.1","18.1","0","0","18.1","18.1",,,"2026-04-24T04:00:18.927Z","1437.7581","/1/Titulos/KMBC/CotizacionDetalle"
"cedears","KMBD","Cedear Kimberly Clark Corporat","bcba",,"16.95","17","16.95","-0.29","0","17","16.95",,,"2026-04-24T18:20:21.133Z","1437.7581","/1/Titulos/KMBD/CotizacionDetalle"
"cedears","KO","Cedear The Coca Cola Company","bcba",,"22960","22600","22960","1.54","0","22980","22550",,,"2026-04-24T19:59:25.463Z","1435.8974","/1/Titulos/KO/CotizacionDetalle"
"cedears","KOC","Cedear The Coca Cola Company","bcba",,"15.54","15.23","15.54","0.97","0","15.42","15.23",,,"2026-04-24T16:44:37.327Z","1435.8974","/1/Titulos/KOC/CotizacionDetalle"
"cedears","KOD","Cedear The Coca Cola Company","bcba",,"15.99","15.86","15.99","0.69","0","16","15.75",,,"2026-04-24T19:57:59.403Z","1435.8974","/1/Titulos/KOD/CotizacionDetalle"
"cedears","KOFM","Cedear Coca Cola Femsa Sab De","bcba",,"74800","75850","74800","0","0","76700","75850",,,"2026-04-24T19:58:54.737Z",,"/1/Titulos/KOFM/CotizacionDetalle"
"cedears","LAC","Cedear Lithium Americas Corp","bcba",,"6940","7025","6940","-0.14","0","7095","6855",,,"2026-04-24T19:59:58.980Z",,"/1/Titulos/LAC/CotizacionDetalle"
"cedears","LACD","Cedear Lithium Americas Corp","bcba",,"4.805","4.905","4.805","-1.83","0","4.915","4.795",,,"2026-04-24T19:43:08.987Z",,"/1/Titulos/LACD/CotizacionDetalle"
"cedears","LAR","Cedear Lithium Argentina Ag.","bcba",,"13880","13560","13880","3.65","0","14170","13350",,,"2026-04-24T19:59:36.227Z","1461.0526","/1/Titulos/LAR/CotizacionDetalle"
"cedears","LARC","Cedear Lithium Argentina Ag","bcba",,"2.2","2.2","2.2","0","0","0","0",,,"2026-04-24T04:00:48.970Z","1461.0526","/1/Titulos/LARC/CotizacionDetalle"
"cedears","LARD","Cedear Lithium Argentina Ag.","bcba",,"9.5","9.13","9.5","2.59","0","9.9","9.13",,,"2026-04-24T19:57:48.813Z","1461.0526","/1/Titulos/LARD/CotizacionDetalle"
"cedears","LLY","Cedear Elililly And Company","bcba",,"23630","23860","23630","-2.71","0","23860","23210",,,"2026-04-24T19:59:51.320Z","1436.4742","/1/Titulos/LLY/CotizacionDetalle"
"cedears","LLYC","Cedear Elililly And Company","bcba",,"15.92","16.54","15.92","-3.74","0","0","0",,,"2026-04-24T15:23:11.420Z","1436.4742","/1/Titulos/LLYC/CotizacionDetalle"
"cedears","LLYD","Cedear Elililly And Company","bcba",,"16.45","16.8","16.45","-3.74","0","17.06","16.16",,,"2026-04-24T19:57:15.480Z","1436.4742","/1/Titulos/LLYD/CotizacionDetalle"
"cedears","LMT","Cedear Lockheed Martin Corporation","bcba",,"38360","39300","38360","-2.04","0","39300","37520",,,"2026-04-24T19:59:48.763Z","1420.7407","/1/Titulos/LMT/CotizacionDetalle"
"cedears","LMTC","Cedear Lockheed Martin Corpora","bcba",,"25.55","25.55","25.55","-13.68","0","25.55","25.55",,,"2026-04-24T16:11:28.893Z","1420.7407","/1/Titulos/LMTC/CotizacionDetalle"
"cedears","LMTD","Cedear Lockheed Martin Corporation","bcba",,"27","27.8","27","-3.57","0","28.02","26.15",,,"2026-04-24T19:59:25.040Z","1420.7407","/1/Titulos/LMTD/CotizacionDetalle"
"cedears","LND","Cedear Brasilagro Com","bcba",,"5990","5935","5990","1.43","0","6010","5920",,,"2026-04-24T18:33:59.403Z",,"/1/Titulos/LND/CotizacionDetalle"
"cedears","LRCX","Cedear Lam Research Corp.","bcba",,"7165","7145","7165","5.29","0","7305","7105",,,"2026-04-24T19:59:26.573Z","1447.4747","/1/Titulos/LRCX/CotizacionDetalle"
"cedears","LRCXC","Cedear Lam Research Corp.","bcba",,"4.84","4.73","4.84","2.32","0","0","0",,,"2026-04-24T13:54:06.950Z","1447.4747","/1/Titulos/LRCXC/CotizacionDetalle"
"cedears","LRCXD","Cedear Lam Research Corp.","bcba",,"4.95","5.06","4.95","3.23","0","5.15","4.95",,,"2026-04-24T19:40:42.270Z","1447.4747","/1/Titulos/LRCXD/CotizacionDetalle"
"cedears","LREN3","Cedear Lojas Renner S.A.","bcba",,"4277.5","4252.5","4277.5","-0.11","0","4257.5","4130",,,"2026-04-24T18:31:59.850Z",,"/1/Titulos/LREN3/CotizacionDetalle"
"cedears","LVS","Cedear Las Vegas Sands Corp.","bcba",,"39120","38660","39120","1.82","0","39420","38660",,,"2026-04-24T19:33:29.337Z",,"/1/Titulos/LVS/CotizacionDetalle"
"cedears","LYG","Cedear Lloyds Banking Group Pl","bcba",,"3997.5","3905","3997.5","0.37","0","4002.5","3905",,,"2026-04-24T19:55:18.523Z",,"/1/Titulos/LYG/CotizacionDetalle"
"cedears","MA","Cedear Mastercard Inc.","bcba",,"22880","22340","22880","1.55","0","22950","22240",,,"2026-04-24T19:59:55.910Z","1408.867","/1/Titulos/MA/CotizacionDetalle"
"cedears","MAC","Cedear Mastercard Inc.","bcba",,"15.18","15.3736","15.18","-1.25","0","0","0",,,"2026-04-24T14:04:33.777Z","1408.867","/1/Titulos/MAC/CotizacionDetalle"
"cedears","MAD","Cedear Mastercard Inc.","bcba",,"16.24","16.11","16.24","2.13","0","16.11","15.8",,,"2026-04-24T19:50:16.453Z","1408.867","/1/Titulos/MAD/CotizacionDetalle"
"cedears","MCD","Cedear Mcdonald's Corporation","bcba",,"18680","18610","18680","0.05","0","18770","18540",,,"2026-04-24T19:59:45.950Z",,"/1/Titulos/MCD/CotizacionDetalle"
"cedears","MCDC","Cedear Mcdonald's Corporation","bcba",,"12.65","12.84","12.65","-1.47","0","0","0",,,"2026-04-24T14:49:45.070Z",,"/1/Titulos/MCDC/CotizacionDetalle"
"cedears","MCDD","Cedear Mcdonald's Corporation","bcba",,"13.08","13.11","13.08","-1.72","0","13.24","12.97",,,"2026-04-24T19:58:04.017Z",,"/1/Titulos/MCDD/CotizacionDetalle"
"cedears","MDLZ","Cedear Mondelez International","bcba",,"5760","5675","5760","1.31","0","5775","5640",,,"2026-04-24T19:55:53.277Z","1454.5455","/1/Titulos/MDLZ/CotizacionDetalle"
"cedears","MDLZC","Cedear Mondelez International","bcba",,"3.865","3.865","3.865","0","0","0","0",,,"2026-04-24T04:00:44.083Z","1454.5455","/1/Titulos/MDLZC/CotizacionDetalle"
"cedears","MDLZD","Cedear Mondelez International","bcba",,"3.96","4.015","3.96","-1","0","4.015","4.015",,,"2026-04-24T19:34:04.413Z","1454.5455","/1/Titulos/MDLZD/CotizacionDetalle"
"cedears","MDT","Cedear Medtronic Plc","bcba",,"31200","30980","31200","0.9","0","31200","30880",,,"2026-04-24T19:55:43.130Z","1431.1927","/1/Titulos/MDT/CotizacionDetalle"
"cedears","MDTD","Cedear Medtronic Inc. Esc.","bcba",,"21.8","21.8","21.8","0","0","0","0",,,"2026-04-24T04:00:59.963Z","1431.1927","/1/Titulos/MDTD/CotizacionDetalle"
"cedears","MELI","Cedear Mercadolibre Inc.","bcba",,"22850","22500","22850","2.6","0","22930","22250",,,"2026-04-24T20:13:45.977Z","1429.0181","/1/Titulos/MELI/CotizacionDetalle"
"cedears","MELIC","Cedear Mercadolibre Inc.","bcba",,"15.45","15.34","15.45","2.31","0","15.57","15.26",,,"2026-04-24T19:31:34.137Z","1429.0181","/1/Titulos/MELIC/CotizacionDetalle"
"cedears","MELID","Cedear Mercadolibre Inc.","bcba",,"15.99","15.98","15.99","1.39","0","16","15.61",,,"2026-04-24T19:59:40.203Z","1429.0181","/1/Titulos/MELID/CotizacionDetalle"
"cedears","META","Cedear Facebook, Inc.","bcba",,"42120","40600","42120","3.79","0","42340","40340",,,"2026-04-24T19:59:55.310Z","1432.6531","/1/Titulos/META/CotizacionDetalle"
"cedears","METAC","Cedear Facebook, Inc.","bcba",,"28.1","27.9","28.1","2.21","0","28.3","27.9",,,"2026-04-24T19:48:41.920Z","1432.6531","/1/Titulos/METAC/CotizacionDetalle"
